PMJ;S/N;gmag;Teff;e_Teff;logg;e_logg;Type;Teff(3D);e_Teff(3D);logg(3D);e_logg(3D);Mass;e_Mass
5649-55912-0467;  2;22.02; 10464;  433; 8.584; 0.212;DA                ; 10422;  433; 8.310; 0.210; 0.787; 0.1300
5649-55912-0400;  1;22.21; 12628; 1528; 9.380; 0.400;DA                ; 12862; 1528; 9.190; 0.400; 1.237; 0.1360
5649-55912-0384;  2;21.95; 10235;  353; 8.377; 0.352;DA                ; 10190;  353; 8.100; 0.350; 0.657; 0.1900
5649-55912-0584;  1;22.20; 11045;  636; 7.932; 0.429;DA                ; 11136;  636; 7.740; 0.430; 0.490; 0.1800
5649-55912-0618;  5;20.92; 10133;  173; 8.861; 0.197;DA                ; 10090;  173; 8.580; 0.200; 0.955; 0.1140
4296-55499-0839;  2;22.05; 14136; 2541; 8.595; 0.246;DA                ; 14568; 2541; 8.550; 0.250; 0.940; 0.1400
4277-55506-0994;  5;20.82; 11484;  456; 8.191; 0.164;DA                ; 11649;  456; 8.010; 0.160; 0.610; 0.0850
4296-55499-0168;  4;21.39; 10402;  226; 8.552; 0.195;DA                ; 10359;  226; 8.270; 0.200; 0.762; 0.1230
5649-55912-0688;  2;22.34; 10779;  468; 8.638; 0.444;DA                ; 10766;  468; 8.390; 0.440; 0.836; 0.2530
5649-55912-0310;  2;21.93; 11201;  126; 7.785; 0.384;DA                ; 11299;  126; 7.620; 0.380; 0.442; 0.1420
5649-55912-0296;  2;21.99; 11429;  780; 8.209; 0.297;DA                ; 11581;  780; 8.020; 0.300; 0.615; 0.1530
4217-55478-0326; 12;20.25; 13635;  261; 7.998; 0.068;DA                ; 14141;  261; 7.980; 0.070; 0.599; 0.0360
4298-55511-0594;  2;21.57; 11932; 1097; 8.593; 0.275;DA                ; 12118; 1097; 8.400; 0.280; 0.844; 0.1660
4534-55863-0066; 21;19.22; 10326;   40; 8.303; 0.004;DA                ; 10285;   40; 8.030; 0.000; 0.617; 0.0000
4365-55539-0750;  6;20.47; 10423;  144; 8.019; 0.143;DA                ; 10389;  144; 7.760; 0.140; 0.497; 0.0550
5649-55912-0022;  4;21.12; 10072;  217; 8.160; 0.208;DA                ; 10026;  217; 7.890; 0.210; 0.542; 0.0970
4300-55528-0488;  3;21.38; 11742;  607; 7.728; 0.337;DA                ; 11934;  607; 7.640; 0.340; 0.453; 0.1260
4299-55827-0686;  4;20.95; 14868; 1214; 8.260; 0.170;DA                ; 14868; 1214; 8.260; 0.170; 0.762; 0.1010
4299-55827-0726;  5;20.71; 10729;  166; 8.360; 0.077;DA                ; 10725;  166; 8.100; 0.080; 0.658; 0.0460
4300-55528-0572;  3;21.29; 10429;  281; 8.649; 0.261;DA                ; 10386;  281; 8.380; 0.260; 0.829; 0.1590
4417-55829-0678; 35;17.44; 14175;  150; 8.374; 0.002;DA                ; 14469;  150; 8.350; 0.000; 0.815; 0.0000
4538-55860-0284;  6;20.68; 11260;  201; 8.000; 0.107;DA                ; 11397;  201; 7.820; 0.110; 0.523; 0.0440
4367-55566-0750;  2;21.60; 11222;  815; 8.850; 0.390;DA                ; 11255;  815; 8.630; 0.390; 0.983; 0.2160
4539-55865-0316;  8;20.49; 10187;  100; 8.593; 0.011;DA                ; 10140;  100; 8.310; 0.010; 0.786; 0.0050
5656-55940-0484;  3;21.51; 11790;  410; 9.015; 0.223;DA                ; 11847;  410; 8.800; 0.220; 1.069; 0.1090
4368-55559-0792;  2;21.73; 10891;  401; 7.865; 0.412;DA                ; 10946;  401; 7.660; 0.410; 0.457; 0.1590
5656-55940-0566;  3;21.37; 10173;  293; 8.476; 0.245;DA                ; 10125;  293; 8.190; 0.240; 0.709; 0.1430
4303-55508-0448;  2;21.89; 10627;  446; 8.392; 0.422;DA                ; 10606;  446; 8.120; 0.420; 0.669; 0.2280
4304-55506-0520;  3;20.99; 11033;  350; 8.540; 0.280;DA                ; 11054;  350; 8.300; 0.280; 0.782; 0.1700
5656-55940-0774;  9;20.31; 14310;  313; 7.661; 0.073;DA                ; 14310;  313; 7.660; 0.070; 0.470; 0.0260
4222-55444-0636;  6;20.95; 13380;  798; 8.061; 0.112;DA                ; 14021;  798; 8.020; 0.110; 0.620; 0.0570
4303-55508-0936;  3;21.75; 10162;  309; 8.277; 0.318;DA                ; 10117;  309; 8.000; 0.320; 0.601; 0.1650
4304-55506-0256;  6;20.56; 10344;  140; 8.043; 0.123;DA                ; 10308;  140; 7.780; 0.120; 0.506; 0.0460
4542-55833-0244;  4;21.13; 10383;  193; 8.590; 0.225;DA                ; 10340;  193; 8.310; 0.230; 0.787; 0.1420
4305-55509-0376;  3;21.63; 11991;  881; 8.432; 0.217;DA                ; 12209;  881; 8.260; 0.220; 0.757; 0.1320
4370-55534-0174;  3;21.60; 10974;  335; 8.505; 0.197;DA                ; 10985;  335; 8.250; 0.200; 0.747; 0.1220
4308-55565-0474;  4;21.07; 11263;  513; 8.322; 0.199;DA                ; 11366;  513; 8.110; 0.200; 0.665; 0.1150
4420-55883-0043;  6;20.67; 10512;  164; 8.300; 0.151;DA                ; 10478;  164; 8.020; 0.150; 0.612; 0.0820
4307-55531-0858;  7;20.43; 11729;  307; 8.307; 0.104;DA                ; 11913;  307; 8.130; 0.100; 0.677; 0.0560
5701-55949-0454;  8;19.88; 10141;  102; 8.447; 0.104;DA                ; 10093;  102; 8.170; 0.100; 0.698; 0.0610
5701-55949-0732;  3;21.55; 10918;  343; 8.674; 0.335;DA                ; 10918;  343; 8.430; 0.340; 0.861; 0.1990
5701-55949-0776;  2;21.92; 10364;  399; 7.188; 0.627;DA                ; 10299;  399; 6.960; 0.630; 0.249; 0.1730
5124-55894-0649;  7;20.38; 11189;  223; 8.418; 0.106;DA                ; 11263;  223; 8.190; 0.110; 0.710; 0.0670
4423-55889-0504; 63;15.90; 14456;   60; 8.543; 0.001;DA                ; 14549;   60; 8.530; 0.000; 0.927; 0.0000
5701-55949-0116;  1;22.08; 11201;  874; 9.387; 0.411;DA                ; 11215;  874; 9.170; 0.410; 1.229; 0.1440
5132-55858-0476;  2;22.01; 11751;  748; 8.610; 0.400;DA                ; 11908;  748; 8.410; 0.400; 0.850; 0.2310
5124-55894-0192;  1;22.08; 11789; 1081; 8.100; 0.420;DA                ; 11977; 1081; 7.960; 0.420; 0.584; 0.2060
3735-55209-0862;  6;20.86; 10181;  153; 8.230; 0.185;DA                ; 10137;  153; 7.960; 0.180; 0.579; 0.0870
3736-55214-0678;  5;20.58; 10167;  196; 8.489; 0.188;DA                ; 10119;  196; 8.210; 0.190; 0.718; 0.1150
4309-55528-0864;  3;21.33; 13504; 1595; 8.004; 0.163;DA                ; 14193; 1595; 7.970; 0.160; 0.594; 0.0770
3736-55214-0724;  2;21.41; 10156;  343; 8.877; 0.335;DA                ; 10113;  343; 8.600; 0.340; 0.967; 0.1920
5125-55863-0678;  2;21.27; 10056;  412; 7.558; 0.465;DA                ; 10027;  412; 7.300; 0.470; 0.326; 0.1360
5125-55863-0342;  5;21.47; 10084;  149; 8.271; 0.159;DA                ; 10037;  149; 8.000; 0.160; 0.600; 0.0840
4309-55528-0970;  3;21.30; 10546;  278; 8.774; 0.232;DA                ; 10506;  278; 8.530; 0.230; 0.924; 0.1320
5125-55863-0724;  2;22.10; 10279;  328; 8.960; 0.291;DA                ; 10235;  328; 8.700; 0.290; 1.014; 0.1560
5132-55858-0784;  7;20.43; 12008;   96; 8.600; 0.085;DA                ; 12202;   96; 8.410; 0.090; 0.850; 0.0560
5125-55863-0794;  3;21.91; 10264;  281; 8.277; 0.260;DA                ; 10222;  281; 8.000; 0.260; 0.601; 0.1330
4312-55511-0432;  6;20.75; 10368;  156; 8.448; 0.126;DA                ; 10326;  156; 8.160; 0.130; 0.692; 0.0790
2060-53388-0320;  2;19.95; 14199; 2280; 8.698; 0.148;DA                ; 14587; 2280; 8.660; 0.150; 0.998; 0.0780
5133-55860-0382;  1;22.15; 10702; 3036; 6.777; 0.142;DA                ; 10613; 3036; 6.680; 0.140; 0.201; 0.0110
4227-55481-0612;  3;21.58; 11729;  531; 8.643; 0.236;DA                ; 11874;  531; 8.440; 0.240; 0.869; 0.1440
5699-55953-0830;  1;21.62; 12580; 1378; 8.351; 0.533;DA                ; 12898; 1378; 8.230; 0.530; 0.736; 0.2810
5125-55863-0054;  5;20.91; 10222;  162; 8.427; 0.143;DA                ; 10176;  162; 8.150; 0.140; 0.686; 0.0840
5138-55830-0661;  4;21.38; 11361; 1094; 7.024; 0.129;DA                ; 11404; 1094; 7.080; 0.130; 0.276; 0.0240
5126-55923-0762;  2;21.64; 10416;  370; 7.364; 0.092;DA                ; 10379;  370; 7.130; 0.090; 0.283; 0.0190
5138-55830-0740; 19;19.10; 12862;  246; 8.445; 0.041;DA                ; 13176;  246; 8.330; 0.040; 0.802; 0.0230
5138-55830-0282;  2;21.55; 11618;  977; 7.872; 0.293;DA                ; 11790;  977; 7.740; 0.290; 0.493; 0.1170
5139-55866-0268; 32;18.94; 10655;   29; 8.430; 0.014;DA                ; 10636;   29; 8.160; 0.010; 0.693; 0.0060
4228-55484-0692;  4;21.21; 11042;  290; 8.458; 0.192;DA                ; 11073;  290; 8.220; 0.190; 0.725; 0.1140
4228-55484-0273; 29;18.58; 10447;   29; 8.417; 0.027;DA                ; 10407;   29; 8.130; 0.030; 0.674; 0.0170
5135-55862-0412;  3;21.43; 10743;  297; 8.191; 0.244;DA                ; 10755;  297; 7.950; 0.240; 0.576; 0.1160
4352-55533-0436;  4;20.93; 10194;  204; 8.494; 0.180;DA                ; 10147;  204; 8.210; 0.180; 0.718; 0.1090
5115-55885-0370;  4;21.46; 10939;  144; 9.091; 0.208;DA                ; 10932;  144; 8.890; 0.210; 1.114; 0.1000
5136-55836-0390;  1;22.31; 11923;  829; 8.706; 0.412;DA                ; 12075;  829; 8.510; 0.410; 0.913; 0.2330
4352-55533-0738;  3;21.46; 10776;  373; 8.230; 0.260;DA                ; 10790;  373; 7.990; 0.260; 0.597; 0.1300
5115-55885-0199;  8;20.36; 10972;  141; 8.405; 0.081;DA                ; 10997;  141; 8.160; 0.080; 0.693; 0.0460
5127-55889-0730;  4;21.03; 10674;  188; 7.991; 0.224;DA                ; 10685;  188; 7.750; 0.220; 0.493; 0.0910
5127-55889-0284;  4;21.17; 10402;  217; 8.765; 0.179;DA                ; 10358;  217; 8.500; 0.180; 0.905; 0.1060
4229-55501-0800;  2;22.05; 11194;  406; 8.174; 0.449;DA                ; 11298;  406; 7.970; 0.450; 0.587; 0.2260
5135-55862-0953;  1;21.71; 13474; 2309; 8.418; 0.429;DA                ; 13996; 2309; 8.340; 0.430; 0.809; 0.2410
4229-55501-0102; 10;20.24; 11592;   62; 8.215; 0.109;DA                ; 11766;   62; 8.040; 0.110; 0.626; 0.0600
5137-55833-0290;  6;20.76; 11695;  349; 8.637; 0.109;DA                ; 11838;  349; 8.430; 0.110; 0.863; 0.0680
4422-55533-0620;  2;21.95; 10591;  397; 8.767; 0.327;DA                ; 10556;  397; 8.520; 0.330; 0.918; 0.1920
4274-55508-0447;  2;22.06; 11854; 2181; 7.484; 0.453;DA                ; 12099; 2181; 7.450; 0.450; 0.381; 0.1410
4310-55508-0031;  3;21.66; 12399; 1123; 8.940; 0.213;DA                ; 12587; 1123; 8.750; 0.210; 1.041; 0.1070
5695-55978-0442;  2;21.80; 10063;  440; 8.678; 0.546;DA                ; 10016;  440; 8.390; 0.550; 0.835; 0.3070
5129-55864-0742;  7;20.80; 11375;  217; 8.642; 0.120;DA                ; 11465;  217; 8.420; 0.120; 0.856; 0.0740
5695-55978-0584;  2;20.90; 12566; 1999; 7.379; 0.476;DA                ; 12861; 1999; 7.400; 0.480; 0.370; 0.1430
5137-55833-0929;  2;21.90; 10508;  476; 9.068; 0.209;DA                ; 10461;  476; 8.850; 0.210; 1.094; 0.1010
5116-55857-0216;  2;21.90; 10259;  472; 7.780; 0.427;DA                ; 10229;  472; 7.530; 0.430; 0.400; 0.1500
5116-55857-0173;  2;21.76; 13208; 1589; 8.460; 0.310;DA                ; 13606; 1589; 8.360; 0.310; 0.820; 0.1810
5695-55978-0269; 13;19.74; 12269;  249; 8.092; 0.069;DA                ; 12547;  249; 7.980; 0.070; 0.596; 0.0370
5695-55978-0742;  1;21.70; 11269; 3489; 6.614; 0.809;DA                ; 11286; 3489; 6.680; 0.810; 0.202; 0.1710
4350-55556-0536;  5;20.56; 11438;  409; 8.616; 0.150;DA                ; 11546;  409; 8.400; 0.150; 0.843; 0.0940
4274-55508-0212;  2;22.13; 10675;  513; 8.721; 0.349;DA                ; 10649;  513; 8.470; 0.350; 0.887; 0.2040
