Arquivo,Teff,logg
t10000g55l.spec,10000.0,5.5
t10000g65l.spec,10000.0,6.5
t10000g80l.spec,10000.0,8.0
t10000g875l.spec,10000.0,8.75
t10250g45l.spec,10250.0,4.5
t10250g50l.spec,10250.0,5.0
t10250g55l.spec,10250.0,5.5
t10250g70l.spec,10250.0,7.0
t10500g45l.spec,10500.0,4.5
t10500g675l.spec,10500.0,6.75
t10500g80l.spec,10500.0,8.0
t10500g85l.spec,10500.0,8.5
t10500g875l.spec,10500.0,8.75
t10500g90l.spec,10500.0,9.0
t10500g925l.spec,10500.0,9.25
t10500g95l.spec,10500.0,9.5
t10750g45l.spec,10750.0,4.5
t10750g50l.spec,10750.0,5.0
t10750g525l.spec,10750.0,5.25
t10750g55l.spec,10750.0,5.5
t10750g575l.spec,10750.0,5.75
t10750g625l.spec,10750.0,6.25
t10750g75l.spec,10750.0,7.5
t11000g45l.spec,11000.0,4.5
t11000g50l.spec,11000.0,5.0
t11000g525l.spec,11000.0,5.25
t11000g55l.spec,11000.0,5.5
t11000g575l.spec,11000.0,5.75
t11000g75l.spec,11000.0,7.5
t11000g825l.spec,11000.0,8.25
t11000g90l.spec,11000.0,9.0
t11250g45l.spec,11250.0,4.5
t11250g475l.spec,11250.0,4.75
t11250g50l.spec,11250.0,5.0
t11250g525l.spec,11250.0,5.25
t11250g625l.spec,11250.0,6.25
t11250g675l.spec,11250.0,6.75
t11500g45l.spec,11500.0,4.5
t11500g475l.spec,11500.0,4.75
t11500g50l.spec,11500.0,5.0
t11500g55l.spec,11500.0,5.5
t11500g60l.spec,11500.0,6.0
t11500g65l.spec,11500.0,6.5
t11500g675l.spec,11500.0,6.75
t11750g45l.spec,11750.0,4.5
t11750g475l.spec,11750.0,4.75
t11750g50l.spec,11750.0,5.0
t11750g525l.spec,11750.0,5.25
t11750g55l.spec,11750.0,5.5
t11750g60l.spec,11750.0,6.0
t11750g625l.spec,11750.0,6.25
t12000g45l.spec,12000.0,4.5
